id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Кабанова;Immanuel_40@gmail.com;modular Бетонный ул.;2023-03-24T08:37:35;51073;32002
2;Frances;Яковлев;Harmon.97@gmail.com;Маленький Ставропольский Невероятный;2023-03-23T18:11:16;71090;65309
3;Laurence;Шарапов;Everette.@yandex.ru;кросс-платформенный;2023-03-24T09:38:54;90426;52820
4;Reuben;Никифорова;Eriberto54@hotmail.com;страховой Berkshire Пластиковый;2023-03-24T08:33:48;20289;35290
5;Marcelina;Королева;Madaline.@yahoo.com;коммуникационный Бетонный Account;2023-03-24T07:33:03;72993;41375
6;Destini;Фомичев;Zaria.@mail.ru;оптимизационный;2023-03-24T04:27:41;422;8893
7;June;Чернова;Keith3@hotmail.com;Uruguayo;2023-03-24T00:59:11;16398;79591
8;Louvenia;Сергеева;Dean_0@ya.ru;багровый Secured Ножницы;2023-03-23T21:50:40;3392;62485
9;Laurence;Зайцев;Erick.@hotmail.com;reinvent deposit;2023-03-23T20:21:50;93711;52100
10;Cathy;Мясников;Westley.@gmail.com;ул.;2023-03-23T22:53:45;39718;32719
